year,inflation_rate,lower_bound,upper_bound,violation
2002,-0.026433355731172708,-0.00356,0.039,low
2003,0.04162694235359114,-0.00356,0.039,high
2004,0.10586578001030508,-0.00356,0.039,high
2005,0.08665085918347244,-0.00356,0.039,high
2006,-0.04992432532773583,-0.00356,0.039,low
2007,-0.13864972099455825,-0.00356,0.039,low
2008,-0.025024714205399534,-0.00356,0.039,low
2009,0.06492195927485979,-0.00356,0.039,high
2010,0.059957935989323766,-0.00356,0.039,high
2011,0.06918505161471253,-0.00356,0.039,high
2012,0.025449738478734635,-0.00356,0.039,
2013,-0.042534689797316526,-0.00356,0.039,low
2014,-0.08663961972824351,-0.00356,0.039,low
2015,0.003821610856384151,-0.00356,0.039,
2016,0.06134001842722671,-0.00356,0.039,high
2017,0.04319133125606772,-0.00356,0.039,high
2018,0.015272322959546034,-0.00356,0.039,
2019,-0.048334181133185695,-0.00356,0.039,low
2020,-0.0783316604189212,-0.00356,0.039,low
